,precision,recall,f1-score,support
covid,0.8653846153846154,0.9,0.8823529411764707,100.0
lung_opacity,0.9157894736842105,0.87,0.8923076923076922,100.0
normal,0.8738738738738738,0.97,0.919431279620853,100.0
viral_pneumonia,0.9555555555555556,0.86,0.9052631578947369,100.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9026508796245638,0.9,0.8998387677499382,400.0
weighted avg,0.9026508796245638,0.9,0.8998387677499382,400.0
