,precision,recall,f1-score,support
covid,0.8557692307692307,0.89,0.8725490196078431,100.0
lung_opacity,0.9157894736842105,0.87,0.8923076923076922,100.0
normal,0.8,0.96,0.8727272727272728,100.0
viral_pneumonia,0.9382716049382716,0.76,0.8397790055248618,100.0
accuracy,0.87,0.87,0.87,0.87
macro avg,0.8774575773479281,0.8699999999999999,0.8693407475419176,400.0
weighted avg,0.8774575773479282,0.87,0.8693407475419176,400.0
